,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DecisionTreeClassifier__criterion,param_DecisionTreeClassifier__max_depth,param_DecisionTreeClassifier__max_features,param_DecisionTreeClassifier__splitter,param_vect__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,79.52511615753174,0.540130228851446,20.08871841430664,0.21597738129339009,gini,10,,best,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 10, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.732,0.7265,0.733375,0.72175,0.72725,0.728175,0.004162030754331347,10
1,75.81168322563171,0.713570095479626,20.387438821792603,0.29151104718993137,gini,10,,random,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 10, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.717875,0.714125,0.72525,0.71325,0.703125,0.7147249999999999,0.0071804421869408434,19
2,74.08326907157898,0.5490325921860489,20.06374845504761,0.26894087989705157,gini,10,auto,best,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 10, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.6555,0.614875,0.68825,0.64025,0.63775,0.647325,0.02423396376988298,26
3,73.5128707408905,0.4478122564449616,20.114778232574462,0.41200349244041057,gini,10,auto,random,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 10, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.544,0.577125,0.5665,0.542875,0.553375,0.556775,0.013241365110893962,60
4,72.5084653377533,0.14223140741008838,19.968581008911134,0.3589202416727723,gini,10,sqrt,best,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 10, 'DecisionTreeClassifier__max_features': 'sqrt', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.643375,0.6175,0.626,0.614875,0.659125,0.6321749999999999,0.01676018347154946,36
5,72.7462911605835,0.38136902467104133,20.343318510055543,0.15006655097286914,gini,10,sqrt,random,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 10, 'DecisionTreeClassifier__max_features': 'sqrt', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.531875,0.574875,0.574375,0.5725,0.53625,0.5579749999999999,0.01958944230957074,58
6,76.46557188034058,0.3825693311122634,20.50395531654358,0.6442378042089658,gini,11,,best,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 11, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.73525,0.729,0.739125,0.729,0.730625,0.7325999999999999,0.003985442259022218,6
7,74.09569425582886,0.5368116362827663,20.339097356796266,0.5832545276659344,gini,11,,random,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 11, 'DecisionTreeClassifier__max_features': None, 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.72725,0.723625,0.73475,0.712625,0.711625,0.7219749999999999,0.008812420212404781,13
8,72.55217204093933,0.3569530471966618,20.18008108139038,0.2522943164137082,gini,11,auto,best,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 11, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'best', 'vect__max_features': 4000}",0.630625,0.640125,0.68375,0.62225,0.607875,0.636925,0.025697349085070993,33
9,72.78456482887267,0.4514253683808172,19.93372654914856,0.3116685275183378,gini,11,auto,random,4000,"{'DecisionTreeClassifier__criterion': 'gini', 'DecisionTreeClassifier__max_depth': 11, 'DecisionTreeClassifier__max_features': 'auto', 'DecisionTreeClassifier__splitter': 'random', 'vect__max_features': 4000}",0.540625,0.578,0.53425,0.56575,0.569625,0.55765,0.01709118925060511,59
