,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_RandomForestClassifier__criterion,param_RandomForestClassifier__max_depth,param_RandomForestClassifier__max_features,param_RandomForestClassifier__n_estimators,param_vect__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
29,81.31440706253052,0.28998586204101223,20.76344323158264,0.27402551838032196,gini,14,sqrt,150,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.836,0.84675,0.846,0.836,0.836375,0.840225,0.005028916384272073,23
30,86.16541438102722,1.5580342859608005,22.034038972854614,1.3397439981616517,gini,14,sqrt,250,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.84275,0.847875,0.847625,0.84,0.841625,0.843975,0.003204879092883241,3
31,86.68358430862426,0.40493113178029094,21.0310462474823,0.5721475533632657,gini,14,sqrt,350,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.845,0.84925,0.846375,0.839375,0.847625,0.845525,0.003379533991543795,1
32,76.6111708164215,0.9933942193391808,20.494729566574097,0.3949806228757547,gini,14,log2,50,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.750125,0.73975,0.760125,0.725375,0.752375,0.74555,0.012005103081606606,69
33,78.90038738250732,0.7319977994753596,20.61631236076355,0.4179686507026854,gini,14,log2,150,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.805125,0.8115,0.804,0.7995,0.798875,0.8038000000000001,0.004557000109721308,61
34,76.14006037712097,0.9487139832311912,20.44386782646179,0.3716182398072437,gini,14,log2,250,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.81925,0.83275,0.82125,0.823125,0.81925,0.8231250000000001,0.0050236938600993425,48
35,77.52611413002015,0.38414221918674235,20.799852466583253,0.19550641675770702,gini,14,log2,350,32000,"{'RandomForestClassifier__criterion': 'gini', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.83225,0.828625,0.828375,0.8195,0.82625,0.827,0.0042167819483582515,39
36,77.73049397468567,1.1650483396674438,20.362370014190674,0.34903753524445386,entropy,12,auto,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.822875,0.8295,0.8255,0.81275,0.8265,0.823425,0.005743256915723009,47
37,81.10115776062011,1.2054317712071132,21.309403276443483,0.4350376830734673,entropy,12,auto,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.83425,0.8395,0.8435,0.82675,0.838,0.8364,0.00566259657754286,35
38,82.86914000511169,0.3767801331233078,21.036520195007324,0.4953109810068746,entropy,12,auto,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.839125,0.84625,0.84575,0.833125,0.841125,0.841075,0.004809235906045769,20
39,85.02746872901916,0.65002333780204,20.722313594818115,0.29199653279178706,entropy,12,auto,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.840375,0.844125,0.844625,0.835,0.8505,0.8429249999999999,0.005118959855283123,11
40,76.43895750045776,0.1691407339154918,20.16597137451172,0.5869848990298192,entropy,12,sqrt,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.814875,0.825375,0.830625,0.80725,0.8255,0.820725,0.00846441078870819,53
41,79.5281789779663,0.7276540058679896,20.228024530410767,0.26489674797267393,entropy,12,sqrt,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.833625,0.843625,0.839375,0.83125,0.836875,0.8369500000000001,0.004335608377148453,34
42,81.41190400123597,0.9640744150196888,20.43409390449524,0.3139280279801845,entropy,12,sqrt,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.841375,0.842125,0.84575,0.83075,0.84175,0.8403500000000002,0.005049381150200493,22
43,84.13206114768983,0.6549101299726191,20.591495752334595,0.46310303781601564,entropy,12,sqrt,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.83775,0.844875,0.8495,0.837125,0.84475,0.8428000000000001,0.004705448969014552,13
44,75.04214668273926,0.25053984306979615,20.248750352859496,0.3265405515747868,entropy,12,log2,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.737,0.738,0.728125,0.750125,0.73675,0.7380000000000001,0.007029847082262893,71
45,76.59763636589051,0.5274419383887414,20.34644560813904,0.40329730295383964,entropy,12,log2,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.801875,0.799125,0.799,0.79775,0.7945,0.7984500000000001,0.0023908680432010556,66
46,77.10963749885559,0.5734152404766238,20.801638174057008,0.41713501084188537,entropy,12,log2,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.822375,0.814375,0.80625,0.817,0.8265,0.8173,0.00694469221780202,59
47,77.66796846389771,0.6894852396183241,20.971988344192503,0.2758780001981833,entropy,12,log2,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 12, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.827,0.83475,0.83625,0.8185,0.829125,0.8291250000000001,0.006321589989868066,37
48,76.68064260482788,0.7790597938795474,20.18422842025757,0.40375792604691024,entropy,13,auto,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.82325,0.8275,0.8245,0.815375,0.8225,0.822625,0.004006245124802046,50
49,79.7263946056366,0.6203866173642043,20.561429166793822,0.44465005015226916,entropy,13,auto,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.838,0.84,0.847375,0.834875,0.837625,0.839575,0.0042283270923617,27
50,83.52761802673339,0.4870887606455001,20.806046390533446,0.3753868129186593,entropy,13,auto,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.838875,0.843125,0.851875,0.83725,0.841125,0.84245,0.005115906566777781,17
51,85.52371120452881,0.6481839172697315,20.624918842315672,0.701107894836441,entropy,13,auto,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.838625,0.842125,0.8465,0.843,0.845875,0.843225,0.0028343870589600437,8
52,74.98678784370422,0.5144286421035593,20.0816379070282,0.4587927758231196,entropy,13,sqrt,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.822375,0.826625,0.819125,0.812375,0.821,0.8202999999999999,0.004668779283710061,56
53,81.03138980865478,1.1505149161931518,21.024638223648072,0.5214470994275718,entropy,13,sqrt,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.8305,0.8445,0.843,0.82975,0.839375,0.837425,0.006193545026880808,32
54,82.87430839538574,0.5720603912096772,20.606963872909546,0.2107212330167639,entropy,13,sqrt,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.83975,0.84475,0.8445,0.841375,0.843625,0.8428000000000001,0.001934231113388475,13
55,86.07436180114746,0.6922734598096543,20.697511768341066,0.2449206474907475,entropy,13,sqrt,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.838125,0.849875,0.846375,0.83625,0.848625,0.8438500000000001,0.00558591979892299,4
56,74.87404646873475,0.5595578142780817,20.20293836593628,0.18232600629007367,entropy,13,log2,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.738875,0.743875,0.759375,0.737,0.7445,0.744725,0.007865033375644396,70
57,75.50116028785706,0.5670660917771105,20.313222932815552,0.5262326177662442,entropy,13,log2,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.81425,0.783875,0.804,0.78975,0.80625,0.7996249999999999,0.011157956802210723,65
58,76.27967705726624,0.7948647928671738,20.49000463485718,0.40740020513990405,entropy,13,log2,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.81875,0.826125,0.82525,0.81925,0.824125,0.8227,0.0030909141042740128,49
59,77.91920948028564,0.5311219860820657,20.820821714401244,0.5379303968126182,entropy,13,log2,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 13, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.830625,0.832125,0.824,0.817,0.81825,0.8244,0.006183344564230588,44
60,77.76562066078186,0.700861269389786,20.625775814056396,0.25207099972950414,entropy,14,auto,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.821375,0.8335,0.824375,0.8175,0.82175,0.8237,0.005369241100937832,46
61,81.58470721244812,0.3738575771643753,20.653892850875856,0.44007394992464366,entropy,14,auto,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.83775,0.84125,0.844875,0.832375,0.840875,0.839425,0.004186735004750149,28
62,85.21850328445434,0.4648827599920095,21.061834859848023,0.14618876233939918,entropy,14,auto,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.839,0.84575,0.848125,0.83625,0.8455,0.8429249999999999,0.004508048358214449,11
63,87.6545440196991,0.6575982667562175,20.694351387023925,0.18855861744789693,entropy,14,auto,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'auto', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.840125,0.846,0.8475,0.837125,0.846625,0.8434750000000001,0.004099847558141636,6
64,77.905064535141,0.4927271909783272,20.446838855743408,0.5483089365366846,entropy,14,sqrt,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.822375,0.832125,0.82975,0.81875,0.8265,0.8259000000000001,0.00484729305901759,42
65,80.10963325500488,0.5017033560597663,20.6875280380249,0.3455326889438116,entropy,14,sqrt,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.836875,0.84175,0.844625,0.831125,0.8405,0.8389749999999999,0.004647176562171905,31
66,82.9175166130066,0.39095867526826544,20.361665105819704,0.2648543626691735,entropy,14,sqrt,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.841875,0.84225,0.845375,0.83775,0.843,0.8420500000000001,0.0024705768557160865,18
67,87.11895008087158,0.9302492751983268,21.019865131378175,0.4571931555668822,entropy,14,sqrt,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'sqrt', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.835125,0.847125,0.84925,0.83525,0.846375,0.842625,0.0061456285276609195,16
68,75.29111018180848,0.776322240150136,20.191581583023073,0.5850550552735027,entropy,14,log2,50,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 50, 'vect__max_features': 32000}",0.754125,0.74675,0.750125,0.756875,0.749,0.7513750000000001,0.0036443449342782996,67
69,76.3318274974823,1.4835570684245991,20.715094661712648,0.9556604492584616,entropy,14,log2,150,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 150, 'vect__max_features': 32000}",0.813875,0.801625,0.8005,0.782125,0.80975,0.801575,0.010932348786971642,63
70,77.09210696220399,1.1494989039260084,20.463175439834593,0.4083032538389946,entropy,14,log2,250,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 250, 'vect__max_features': 32000}",0.82225,0.818875,0.8285,0.815,0.8185,0.820625,0.004557960070031348,54
71,76.11410040855408,1.720971353449066,20.234189605712892,0.9319202834525389,entropy,14,log2,350,32000,"{'RandomForestClassifier__criterion': 'entropy', 'RandomForestClassifier__max_depth': 14, 'RandomForestClassifier__max_features': 'log2', 'RandomForestClassifier__n_estimators': 350, 'vect__max_features': 32000}",0.827375,0.828,0.831375,0.821375,0.826125,0.82685,0.003242684073418193,40
